;sent1;sent2;all-MiniLM-L6-v2;all-MiniLM-L12-v2;all-mpnet-base-v2;all-distilroberta-v1
1;I like to read books.;Reading books is something I enjoy.;0.8445432;0.88326263;0.85739774;0.8938465
2;He cooks delicious meals.;His meals are always tasty.;0.7296901;0.71036005;0.74454445;0.7122899
3;She plays the piano skillfully.;Playing the piano is her expertise.;0.85165286;0.7604029;0.7901421;0.88468647
4;They love to travel the world.;Traveling the world is their passion.;0.8196126;0.8074927;0.8228841;0.8592588
5;He works hard to achieve his goals.;Hard work is the key to his success.;0.78130025;0.8064469;0.7940201;0.7422943
6;She teaches English at the university.;Teaching English at the university is her profession.;0.8876181;0.907781;0.93936986;0.92642176
7;I enjoy swimming in the ocean.;Swimming in the ocean is my favorite activity.;0.838743;0.82382077;0.90847886;0.7906792
8;He drives a fast sports car.;Driving a fast sports car is his thrill.;0.82546735;0.81498563;0.7854941;0.8056781
9;They hike in the mountains every weekend.;Hiking in the mountains is their weekend routine.;0.87902844;0.9248192;0.8828753;0.85552335
10;She practices yoga for relaxation.;Practicing yoga helps her relax.;0.8068123;0.85239846;0.7911693;0.84607565
11;I admire talented musicians.;Admiring talented musicians is something I do often.;0.77693;0.8087022;0.76538885;0.74938416
12;He studies astronomy in his free time.;Studying astronomy is his hobby.;0.8700261;0.85202885;0.90849876;0.8780129
13;She volunteers at the local shelter.;Volunteering at the local shelter is her way of giving back.;0.82039446;0.8607088;0.8374655;0.8103776
14;They practice martial arts for discipline.;Practicing martial arts helps them maintain discipline.;0.88995296;0.908433;0.816893;0.8863529
15;He writes poetry in his spare time.;Writing poetry is his creative outlet.;0.81518894;0.80800927;0.84265006;0.7954274
16;She designs beautiful websites.;Designing beautiful websites is her profession.;0.8896228;0.90745413;0.89550275;0.916392
17;I appreciate fine art.;Appreciating fine art is something I enjoy.;0.71497566;0.76993334;0.8428807;0.82728314
18;He sketches amazing portraits.;Sketching amazing portraits is his talent.;0.9007016;0.9154196;0.8952211;0.8549146
19;She bakes delicious cakes.;Baking delicious cakes is her passion.;0.84940463;0.848364;0.8910879;0.8582431
20;They plant trees to help the environment.;Planting trees to help the environment is their contribution.;0.84290266;0.87439215;0.8780048;0.8971809
21;I read the news every morning.;Reading the news every morning is my routine.;0.75903666;0.70698595;0.7993914;0.77795553
22;He enjoys watching movies on weekends.;Watching movies on weekends is his favorite pastime.;0.89944136;0.90071785;0.92717683;0.9243214
23;She practices meditation for inner peace.;Practicing meditation for inner peace is her way of relaxation.;0.85755557;0.8991145;0.8784957;0.89276886
24;They appreciate fine dining experiences.;Appreciating fine dining experiences is something they enjoy.;0.9140438;0.92880595;0.896155;0.9039674
25;I go for a run every morning.;Going for a run every morning is my daily exercise.;0.8050013;0.84349835;0.7935647;0.889536
26;He learns new languages for personal growth.;Learning new languages for personal growth is his goal.;0.8749583;0.89366186;0.8885227;0.89920634
27;She practices photography as a hobby.;Practicing photography as a hobby is her creative outlet.;0.8929131;0.8964585;0.8886386;0.90033686
28;I explore new cultures when I travel.;Exploring new cultures when I travel is my passion.;0.91171145;0.89318585;0.84120834;0.8597325
29;He enjoys hiking in the countryside.;Hiking in the countryside is his preferred outdoor activity.;0.875473;0.87512684;0.92413926;0.90370774
30;She enjoys playing video games in her free time.;Playing video games in her free time is her way of relaxing.;0.8523513;0.86951673;0.8461178;0.8802636
31;I practice mindfulness for mental well-being.;Practicing mindfulness for mental well-being is important to me.;0.8827833;0.9018812;0.7899337;0.8383778
32;He appreciates classical music performances.;Appreciating classical music performances is something he enjoys.;0.9181607;0.94117856;0.88999015;0.9165646
33;She loves to cook international cuisines.;Cooking international cuisines is her culinary passion.;0.8999032;0.89380324;0.9247093;0.9349545
34;They volunteer at the local community center.;Volunteering at the local community center is their way of giving back.;0.76631296;0.87213755;0.84912443;0.7253993
35;I enjoy running marathons.;Running marathons is my fitness goal.;0.79138505;0.66243356;0.6544596;0.7694571
36;He practices public speaking for self-improvement.;Practicing public speaking for self-improvement is his personal goal.;0.90098834;0.8894244;0.90018606;0.91652924
37;She learns to play musical instruments.;Learning to play musical instruments is her musical journey.;0.90691495;0.890118;0.8148594;0.9098033
38;I love to paint landscapes.;Painting landscapes is my artistic expression.;0.8244914;0.7955367;0.8698051;0.8605598
39;He enjoys reading science fiction novels.;Reading science fiction novels is his favorite pastime.;0.8751688;0.9080517;0.89677197;0.9386873
40;She practices calligraphy for relaxation.;Practicing calligraphy for relaxation is her way of unwinding.;0.8879487;0.84455514;0.9154925;0.904191
41;I appreciate a good cup of coffee.;Appreciating a good cup of coffee is something I enjoy.;0.79848593;0.7479812;0.785954;0.6506932
42;He loves to go camping in the mountains.;Going camping in the mountains is his outdoor adventure.;0.86152977;0.89311767;0.83608055;0.8650613
