;sent1;sent2;all-MiniLM-L6-v2;all-MiniLM-L12-v2;all-mpnet-base-v2;all-distilroberta-v1
1;He loves to play soccer with friends during the weekends.;Reading books is something I enjoy.;0.18937048;0.20978224;0.16950968;0.09893569
2;I enjoy exploring different cultural festivals and events.;His meals are always tasty.;0.16117069;0.14079696;0.07916374;0.14604692
3;I volunteer at a local shelter to help animals in need.;Playing the piano is her expertise.;0.009756628;0.09711299;0.11264211;0.047330093
4;She loves to dance and express herself through movement and creativity.;Traveling the world is their passion.;0.24908131;0.27042994;0.23264447;0.15695938
5;He practices mindfulness for mental clarity and inner peace.;Hard work is the key to his success.;0.28115726;0.38038105;0.36278293;0.3185888
6;I enjoy jogging in nature and being surrounded by greenery.;Teaching English at the university is her profession.;0.026289325;0.06170333;0.036905475;0.04198946
7;They volunteer at a local children's charity organization.;Swimming in the ocean is my favorite activity.;0.07689781;0.085772514;0.078149565;0.086639
8;She loves to experiment with new dessert recipes and baking techniques.;Driving a fast sports car is his thrill.;0.03414807;0.09129863;0.057380356;0.105143726
9;He appreciates fine wine and enjoys tasting different varieties.;Hiking in the mountains is their weekend routine.;0.14050631;0.14258553;0.112211645;0.13116731
10;I enjoy hiking in scenic locations and capturing the beauty in photographs.;Practicing yoga helps her relax.;0.08813882;0.082741134;0.1012903;0.10789533
11;She practices yoga for physical strength and mental clarity.;Admiring talented musicians is something I do often.;0.13409582;0.09909342;0.16313985;0.084151834
12;He loves to travel and immerse himself in different cultures.;Studying astronomy is his hobby.;0.43930525;0.48726675;0.3923051;0.4689884
13;I enjoy attending live music concerts and experiencing the energy.;Volunteering at the local shelter is her way of giving back.;0.11899227;0.16499172;0.1324389;0.15750298
14;I practice mindfulness for mental relaxation and stress relief.;Practicing martial arts helps them maintain discipline.;0.30996856;0.3428375;0.29462707;0.32061243
15;She loves to explore new hiking trails and natural landscapes.;Writing poetry is his creative outlet.;0.20395522;0.20995213;0.17429161;0.19105102
16;He appreciates modern art and contemporary artists.;Designing beautiful websites is her profession.;0.33555338;0.32564306;0.3555493;0.25031295
17;I enjoy experimenting with new cooking techniques and flavors.;Appreciating fine art is something I enjoy.;0.36107144;0.3654406;0.37352332;0.36707294
18;She practices mindfulness for emotional balance and well-being.;Sketching amazing portraits is his talent.;0.105614305;0.09890467;0.18129013;0.06548764
19;He loves to play basketball with friends during the weekends.;Baking delicious cakes is her passion.;0.100899175;0.12528244;0.15763192;0.090926155
20;I enjoy exploring different cuisines and trying new dishes.;Planting trees to help the environment is their contribution.;0.041443825;0.079898834;0.0247874;0.027540687
21;I volunteer at a local community center to help those in need.;Reading the news every morning is my routine.;0.14427501;0.21549839;0.25887206;0.24322632
22;She loves to dance and express herself through movement.;Watching movies on weekends is his favorite pastime.;0.16403957;0.22141233;0.17067964;0.13794205
23;He practices mindfulness for mental clarity and focus.;Practicing meditation for inner peace is her way of relaxation.;0.52658516;0.5861443;0.5574866;0.5244192
24;I enjoy jogging in the park.;Appreciating fine dining experiences is something they enjoy.;0.25392312;0.20543373;0.14250205;0.13534737
